Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Subject ID,Age,With what gender do you identify?,,How many servings of caffeine have you had today?,Where you are currently coming from?,,How busy has this week been?,How rejuvenated do you feel today?,"In a few sentences, how do you feel right now?",Which of the following methods/activities do you participate in to rejuvenate from mental fatigue? Check all that apply.,,,,,,,,How culturally acceptable is it to seek rest during a work day?,How many minutes would you be willing to rejuvenate during a work day?,Have you ever utilized the NapStation here at Steelcase?,How rejuvenated do you feel compared to when you arrived?,How long did your rejuvenation feel like?,"In a few sentences, how are you feeling right now?",How would you rate your LUCID experience?,"In a few sentences, explain why you rated the experience the way you did?",How likely are you to recommend the LUCID experience to a co-worker?,How culturally acceptable would it be to use LUCID at work for the purpose of rejuvenation?,Any additional comments or feedback.
,,,,,,,,,Open-Ended Response,Response,Response,Other (please specify),Response,Response,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response,Meditation,Nature Walk,Napping,Solitude,Browse Social Media,Socialize,Eat a snack,Other,Response,Open-Ended Response,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response,Response,Response,Open-Ended Response
10355292919,220558889,11/15/2018 08:43:42 AM,11/15/2018 08:46:30 AM,52.144.32.136,,,,,B1,18-24,Male,,0,From home,,4,5,"Little tired, still waking up",,Nature Walk,Napping,Solitude,Browse Social Media,,Eat a snack,Other,Neutral,15,No,5,5,"A bit more awake, it was an overall positive experience. The combined stimuli were very pleasant",4,"Positive experience, but maybe a bit short.",Likely,Somewhat appropriate,"Headrest, more recline to increase comfort. Current setup feels like I am forced to hold my head up. Zero gravity chair would be perfect? Empath chair atleast may be the better option with full recline"
10353742500,220558889,11/14/2018 04:30:11 PM,11/14/2018 04:33:37 PM,198.105.65.197,,,,,B22,18-24,Male,,2,Working on my own,,4,3,"pretty good. I know what i need to do this week, and I feel nice!",,Nature Walk,Napping,,Browse Social Media,Socialize,Eat a snack,,Somewhat inappropriate,5,No,4,4,feels good. Not that much different.,2,I feel like i could have done this with my eyes closed listening to a white noise or MP3 version of this on my phone. I don't feel that much different though. i'd be interested to see if my heart rate went down or if my brain waves were reduced or something,Unlikely,Somewhat inappropriate,n/a    thanks.
10353739830,220558889,11/14/2018 04:25:51 PM,11/14/2018 04:32:36 PM,198.105.65.197,,,,,B16,25-34,Female,,2,From a meeting,,5,7,A little tired but in a good mood.,Meditation,Nature Walk,,,,Socialize,,,Somewhat appropriate,15,No,7,5,Pretty much the same as when I arrived with the difference that I'm more curious about what this is.,3,I did't feel a lot more different after I tried it compared to how I felt when I arrived.  I also think the instructions are mixed: I've been asked if I have any light sensitivity but then right before testing the experience I was advised to keep them closed. I think the Brody chair is very comfy and I call it the business class chair from a plane and just the addition of music and and light doesn't seem anything new from what our nap station offers or the green room. ,Neither likely nor unlikely,Somewhat appropriate,Thank you!
10353713568,220558889,11/14/2018 04:15:46 PM,11/14/2018 04:22:51 PM,198.105.65.197,,,,,B19,35-44,Female,,1,Working on my own,,4,5,I feel pretty good.  I don't feel too tired since it is early in the week and my back is not sore.,,Nature Walk,Napping,Solitude,Browse Social Media,,Eat a snack,,Neutral,15,No,8,5,I felt pretty refreshed and surprisingly good.  It was a nice break from my day and my back felt marginally better.,4,"It was a quick and nice way to take a break during the day.  I liked the experience, but it could have been better.  I didn't like the bright lights at the beginning and I could hear conversations in the other room.  I also wish I could have reclined to relax even more.",Very likely,Very appropriate,"I didn't feel like I wasted my time, or that I was away from work for too long, and I felt good.  It was a nice respite and while it could be better (recline and blocking out the voices, which were annoying) it was a good experience."
10353644009,220558889,11/14/2018 03:54:54 PM,11/14/2018 03:57:53 PM,198.105.65.197,,,,,B20,25-34,Female,,2,Working on my own,,4,3,Pretty tired. And thirsty.,Meditation,Nature Walk,,Solitude,Browse Social Media,Socialize,Eat a snack,,Somewhat appropriate,10,Yes,7,5,Like I just woke up from a nap. A little groggy.,4,"I closed my eyes, so the lights weren't doing much. The back pillow was a bit uncomfortable. I didn't really notice the sounds that much, but it was overall a pleasant and relaxing experience.",Likely,Somewhat appropriate,
10353632620,220558889,11/14/2018 03:49:54 PM,11/14/2018 03:53:52 PM,198.105.65.197,,,,,B13,45-54,Female,,1,From a meeting,,9,2,Stressed.  I have had a couple of meetings today which is unusual AND am trying to catch up from a business trip I was on last week.,,,,Solitude,,,,,Somewhat inappropriate,15,No,8,10,"I feel like I escaped the office and my stress for a while.   I don't get a chance to do that where I sit because I always feel ""on"".",5,I loved that the headphones blocked out ALL sound except the rain/thunderstorm.  The vibration was soothing as well!!,Very likely,Somewhat appropriate,"This was amazing!!   I think it would be much more ""acceptable"" than the Napstation.   It would be great to test one of these in our area (Leadership Space).!"
10353627337,220558889,11/14/2018 03:44:32 PM,11/14/2018 03:52:00 PM,98.243.168.83,,,,,B12,55-64,Male,,4 or more,Working on my own,,6,3,"There is a lot of work with new customers and year end business, so feeling a bit stressed. ",,,,,,,,Other,Neutral,10,No,8,5,"Feeling relaxed and like the stress is a bit down, but then I remember what is waiting at my desk, its back up again",3,"It was nice to turn my brain off and relax for a few minutes.  The benefits seemed to fade when I started thinking again about the meetings, emails and work that was waiting for me",Neither likely nor unlikely,Somewhat appropriate,i think it depends on the manager.  Some might be OK with it.  Others would ask why you weren't working
10353489574,220558889,11/14/2018 02:58:13 PM,11/14/2018 03:02:24 PM,198.105.65.197,,,,,b28,35-44,Male,,3,Working on my own,,9,1,I feel like a 9/10 on the anxiety + stress scale,,,,Solitude,,,,,Somewhat inappropriate,8,No,7,9,My breathing is much deeper than it was before I came.    I feel like I better get to work and be productive since I just took a break.    I'm a big sad that the time wasn't longer.  My brain was just starting to relax.,4,Not enough time  Brody was not very relaxing (my head hit a funny spot)  That feeling of feeling guilty for not working,Very likely,Somewhat appropriate,
10353466826,220558889,11/14/2018 02:48:03 PM,11/14/2018 02:54:00 PM,198.105.65.197,,,,,B26,25-34,Female,,0,From home,,6,7,"I feel peaceful and ready to start a great day, so I also feel hopeful and positive.",,,,Solitude,Browse Social Media,Socialize,Eat a snack,,Somewhat inappropriate,29,No,9,4,My mind feels at ease and my body feels more energized than when I arrived.,4,It was a nice short rest but seemed to end too abruptly. I was also comfortable but would have really liked a headrest!,Very likely,Somewhat appropriate,"I kept noticing a smell that may have just been someone's perfume, but it was nice to utilize that sense as well in addition to the lights, sounds, and vibrations!"
